Income_count,Employment_count,CIF,ALCOHOL,DEPRESS,EMERG,Attendance,Attainment,Noquals,NEET,PT_GP,PT_Post,PT_retail,crime_count,overcrowded_count,nocentralheat_count
80,50,95,12.832392,0.147169811,83.71321337,0.798245614,5.15384615,91.38532539,0.11,7.658174177,4.728174139,7.503929999,14.00657414,114,19
85,50,110,131.2574232,0.234910277,103.3101467,0.741258741,5.05555556,110.0317681,0.1,7.908705649,7.71822583,7.683354831,8.003756652,66,17
110,60,75,109.8032369,0.136363636,71.39808375,0.703703704,6,68.08210676,0.13,7.378779298,7.243527409,6.301909246,20.00939163,184,51
90,50,65,126.6868308,0.129066107,90.2192942,0.791208791,5.46666667,81.63104355,0.06,6.214909718,8.330147759,4.233884048,26.01220912,176,46
165,110,140,71.62889594,0.122231337,94.70195267,0.762195122,5,103.2235341,0.03,4.629247897,8.068654721,6.560243612,26.01220912,161,40
115,75,105,61.53651133,0.17628866,106.5010149,0.821705426,5.05,77.73571911,0.07,7.0655264,5.459577586,6.704126678,62.02911406,180,27
125,125,135,196.7133829,0.145969499,95.63201162,0.6,5,98.75528782,0.15,7.86367733,5.079513095,6.64969479,48.02253991,193,102
90,90,100,76.8803035,0.12710084,77.73169736,0.714285714,5,74.93583358,0.08,6.06701179,3.086144794,2.894444432,38.0178441,371,155
60,65,65,155.2317287,0.118924509,82.18515323,0.774193548,5.5,51.47670701,0.05,6.423770892,2.072771972,5.178566899,15.00704372,360,187
60,60,65,182.0476194,0.133492253,65.51762197,0.909090909,7,63.15881939,0,5.891145021,3.101183239,6.491030484,23.01080038,289,159
105,105,140,127.2104487,0.186881188,76.93714004,0.808510638,5.14285714,74.53975846,0.1,3.076852318,3.309135343,5.232836826,43.02019201,270,110
80,80,100,89.69625147,0.131131131,63.22538537,0.893617021,6,53.86513641,0.05,3.029573268,4.240328786,5.4720557,22.01033079,372,123
95,85,195,364.7947912,0.158008658,141.4366858,0.752808989,4.83333333,128.4579814,0.03,4.908843198,5.699776091,6.544776195,12.00563498,124,7
30,20,40,61.32076594,0.083333333,41.23448821,0.829787234,5,30.54716738,0,5.551729824,5.114398736,6.533484408,3.001408745,92,11
15,10,20,61.94656482,0.064896755,33.93745603,0.810810811,6,35.96756037,0,6.918417333,4.592039383,5.703196785,12.00563498,160,46
35,15,30,28.44690578,0.088372093,40.89239412,0.853932584,6,24.81923473,0,4.91156661,6.530096001,7.107896126,18.00845247,127,39
30,20,25,27.58684525,0.093357271,50.3142197,0.959770115,5.75,26.44923936,0.02,7.014159282,8.773466705,8.430085547,6.002817489,113,46
20,20,40,85.53651167,0.119302949,64.05589938,0.925925926,6.5,21.50273729,0.02,6.410689216,8.079648501,8.642408591,4.001878326,35,22
30,15,50,56.81546131,0.160599572,70.01558942,0.952941177,4.8,16.20876456,0.02,6.015468395,7.178805624,9.372037507,10.00469582,81,28
50,25,40,49.59405522,0.133089133,56.66603476,0.918918919,6.1,27.48901541,0,4.359565228,6.595390185,9.007368933,27.0126787,74,26
10,10,40,5.729412833,0.112922002,48.02932083,0.945783133,5.92307692,15.73460265,0.02,5.79172153,6.606430691,11.93333147,15.00704372,20,6
15,15,40,20.68860415,0.110011001,53.80087004,0.940677966,6.2,25.29901572,0.03,4.701579453,5.438045723,13.01419022,15.00704372,61,6
15,15,30,20.34641268,0.119176598,56.11367698,0.951219512,6.04166667,31.28024138,0.02,8.840240076,7.289417842,10.71585002,41.01925284,55,11
10,10,30,31.18674613,0.097023153,55.13631407,0.977099237,5.75,20.96658033,0,6.210578926,6.413016447,12.10146412,23.01080038,18,6
5,5,30,8.904192756,0.120155039,47.07317312,0.897435897,6.2,13.36359757,0,8.030321798,8.172816872,13.73918811,15.00704372,6,2
15,5,45,13.2323553,0.127272727,73.70936849,0.955752212,6.41176471,30.00623747,0.01,6.611653658,8.31501054,17.01941599,20.00939163,23,4
35,25,55,63.9316773,0.164210526,69.61178874,0.972826087,6.33333333,16.61269384,0.02,7.982087862,8.286573875,8.373581433,22.01033079,21,9
5,5,20,39.26672746,0.087011349,52.30819789,0.942708333,6.13333333,14.2772537,0,6.265890189,6.569712159,6.679283767,7.003287071,35,14
65,60,70,126.476394,0.129449838,65.55296438,0.901960784,4.57142857,37.32202713,0.13,5.433546069,5.736159781,6.069386746,10.00469582,205,94
40,15,45,59.44527152,0.127147766,58.87904835,0.879120879,6.46153846,17.25873992,0,3.324901147,3.667031998,3.903354662,11.0051654,110,18
15,15,20,42.86208127,0.095588235,48.97903695,0.940298508,6.23529412,12.76263307,0.04,5.045458544,5.371370175,5.636392259,35.01643535,60,19
10,15,30,12.2400884,0.105137395,53.7635408,0.974193548,6.41666667,12.39316686,0.03,6.885117397,7.159196562,7.421891147,24.01126996,35,13
15,10,20,16.86301247,0.098092643,55.85789281,0.942222222,6.36842105,13.06151825,0.01,7.882578977,7.798489704,10.29887073,34.01596577,24,1
15,10,25,4.976975793,0.090407938,49.06662931,0.967272727,6.45238095,17.27070104,0.01,6.822764652,8.215937085,8.819856681,19.00892205,17,4
