id,Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population_revised,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,Noquals,NEET,HESA,drive_petrol,drive_GP,drive_PO,drive_primary,drive_retail,drive_secondary,PT_GP,PT_Post,PT_retail,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
197,S01008613,Marchmont East and Sciennes,City of Edinburgh,768,541,0.03,25,0.03,15,35,54.99875515,63.61009694,85,0.126302083,0.117647059,49.74090515,0.898148148,5.90909091,26.1705018,0.02,0.05610561,2.192424784,1.466611591,1.879639727,0.916096074,1.670083336,3.811229956,5.30968359,6.246234343,6.407211779,20.00939163,260.5389535,133,25,0.166666667,0.031328321
198,S01008614,Marchmont East and Sciennes,City of Edinburgh,683,578,0.03,20,0.04,20,60,40.73573325,61.06134604,71,0.120058565,0,71.75791046,0.931818182,3.66666667,27.85991317,0.04,0.05127351,2.794440944,0.866437424,2.445140298,1.3502268,1.182966494,3.364550535,1.895878897,7.521469678,4.196484532,13.00610456,190.4261283,187,27,0.276218612,0.039881832
199,S01008615,Marchmont East and Sciennes,City of Edinburgh,888,716,0.02,20,0.03,20,35,85.53503799,27.13521915,99,0.105855856,0.111111111,63.71463584,0.933333333,6.54545455,17.11511585,0.02,0.12337688,2.762235314,1.018406857,2.469870566,1.159909248,1.067101296,3.292190153,2.839559825,7.363613309,3.700356767,9.004226234,101.3989441,204,33,0.241134752,0.039007092
200,S01008616,Marchmont East and Sciennes,City of Edinburgh,647,557,0.01,10,0.01,5,15,18.42969082,0,101,0.072642968,0,38.85223011,0.845238095,6.57142857,15.409692,0,0.08282644,3.039072568,1.094816443,2.760627533,1.572965638,0.725972902,2.855544475,2.775088689,5.990750279,1.945375173,5.002347908,77.31604185,270,24,0.36834925,0.032742156
201,S01008617,Marchmont West,City of Edinburgh,779,655,0.01,5,0,5,25,15.34343405,0,68,0.084724005,0,49.67149584,0.899082569,6,8.994038652,0.01,0.16450251,2.641991343,1.268326796,2.883278071,1.614066966,1.110536318,2.341751248,4.280910685,7.319297386,3.510193006,11.0051654,141.2729833,235,6,0.283474065,0.007237636
202,S01008618,Marchmont West,City of Edinburgh,714,619,0.01,5,0.01,5,15,26.28069934,61.53969303,21,0.075630252,0,37.89679737,0.870967742,6.3,13.27304592,0.04,0.13459296,2.929551624,1.188067298,2.862696204,2.021606584,0.771395333,2.441569238,3.998501329,7.286278791,2.066400514,5.002347908,70.06089507,236,15,0.319350474,0.0202977
203,S01008619,Marchmont West,City of Edinburgh,522,443,0.03,15,0.02,10,30,22.70592651,0,100,0.084291188,0,53.11521108,0.910714286,5.66666667,21.09362619,0,0.00895522,2.320926648,1.541725386,2.91971636,1.63658006,1.573131662,1.96509986,4.84350003,10.07507703,4.955250043,0,0,128,10,0.246153846,0.019230769
204,S01008620,Marchmont West,City of Edinburgh,799,684,0.01,10,0.01,5,20,23.12000926,26.21623372,74,0.095118899,0.058823529,34.13802028,0.869565217,6.85714286,18.58456917,0,0.17945728,2.593549415,1.312556301,2.893368089,1.989988979,1.109759845,2.489652011,4.335546055,8.202849748,3.178085893,6.002817489,75.12913003,208,13,0.255214724,0.01595092
205,S01008621,Marchmont West,City of Edinburgh,776,667,0.01,10,0.01,10,15,23.76884869,58.98725506,66,0.078608247,0,33.2709119,0.963636364,6,7.012406227,0.01,0.08972864,2.253512489,0.825803041,2.57099678,1.62772159,1.403071778,2.322268538,2.294766261,8.003116811,4.688766241,4.001878326,51.57059699,183,23,0.237662338,0.02987013
206,S01008622,Marchmont West,City of Edinburgh,521,422,0.01,5,0.01,5,25,10.11229744,0,45,0.101727447,0,49.74221747,0.949152542,6.66666667,6.686137141,0,0.02797203,1.573460197,1.477835218,2.173481645,1.276451405,2.243106567,2.625324333,4.716498997,7.181702291,7.314081083,0,0,81,15,0.156673114,0.02901354
207,S01008623,Marchmont West,City of Edinburgh,942,702,0.01,10,0.01,5,10,11.66258563,27.31450158,33,0.085987261,0,48.88414526,0.954954955,6.55555556,26.94559747,0.02,0.06729648,2.190956146,1.846429674,2.66104557,1.2012448,1.971403115,2.7598116,5.589672465,8.507924621,6.654260963,13.00610456,138.0690505,205,6,0.235903337,0.006904488
208,S01008624,Morningside,City of Edinburgh,819,385,0.05,45,0.03,10,50,23.86879256,0,106,0.11965812,0,52.60960386,0.965517241,6.5,26.49754318,0,0.28070175,2.954355389,1.747806021,2.072301522,2.356117196,2.048435398,3.936473669,6.51025287,7.135691436,7.077227921,19.00892205,232.0991703,41,4,0.060029283,0.005856515
