CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG
100,77.30540713,55.04226201,195,0.289198606,0.046511628,121.5286756
80,60.62662728,77.75366342,108,0.150847458,0.03125,118.905896
170,382.3468565,112.9109193,142,0.224209078,0,163.5977114
205,309.6614023,190.3067483,207,0.211670481,0.078431373,158.8765536
130,61.05010281,210.5845472,115,0.183448276,0.090909091,115.4956241
185,153.0647957,282.2418913,150,0.208563536,0.111111111,132.4367615
165,108.9963067,312.1229807,123,0.227330779,0,119.6831498
145,75.3281884,174.4722836,102,0.188102894,0.037037037,112.5456167
115,114.609066,198.1663014,109,0.201101928,0.083333333,117.8105307
150,141.2854755,473.5196273,92,0.22542595,0,119.6934211
150,173.7450163,226.2137234,144,0.225536993,0,126.7001647
115,70.6158469,64.66388776,78,0.215462611,0.021276596,115.9526409
120,34.2851601,285.4754644,117,0.168238994,0,104.7909336
105,100.1368519,355.3876331,102,0.129321383,0.047619048,131.4299585
125,127.7857358,469.4955695,99,0.21182266,0,111.1475476
125,279.461981,331.3927125,97,0.208130081,0.0625,141.9298124
85,47.0705595,183.6847832,64,0.183574879,0.085714286,84.17759372
40,31.71794727,0,70,0.128803245,0.037037037,79.08977309
110,126.6370569,0,91,0.204976303,0,109.7699324
50,42.53373195,22.18976258,95,0.121621622,0.03125,61.08706536
95,12.832392,86.55649211,92,0.147169811,0.045454545,83.71321337
110,131.2574232,189.6360736,82,0.234910277,0.037037037,103.3101467
75,109.8032369,65.39553612,96,0.136363636,0,71.39808375
65,126.6868308,41.64662807,128,0.129066107,0.046875,90.2192942
140,71.62889594,97.03773058,198,0.122231337,0.032786885,94.70195267
105,61.53651133,208.5646598,119,0.17628866,0.071428571,106.5010149
135,196.7133829,149.850131,153,0.145969499,0,95.63201162
100,76.8803035,123.5687315,107,0.12710084,0.032258065,77.73169736
65,155.2317287,14.92267835,96,0.118924509,0.049180328,82.18515323
65,182.0476194,120.2140194,61,0.133492253,0.037037037,65.51762197
140,127.2104487,166.239718,119,0.186881188,0.04,76.93714004
100,89.69625147,63.64246041,84,0.131131131,0.015873016,63.22538537
195,364.7947912,666.9137593,248,0.158008658,0.086956522,141.4366858
40,61.32076594,0,90,0.083333333,0,41.23448821
20,61.94656482,0,37,0.064896755,0.045454545,33.93745603
30,28.44690578,19.46255246,71,0.088372093,0.054545455,40.89239412
25,27.58684525,35.70886903,60,0.093357271,0,50.3142197
40,85.53651167,0,76,0.119302949,0.058823529,64.05589938
50,56.81546131,0,115,0.160599572,0.034482759,70.01558942
40,49.59405522,78.54393807,97,0.133089133,0.01754386,56.66603476
40,5.729412833,35.85011301,69,0.112922002,0.035714286,48.02932083
